user,jobdescription
job description for the position of opening for ui designerdeveloper for telecom company,"Greetings!! We have Opening with Telecom company for UI- Designer & Developer. Please find attached Job description for the same. Job Title: UI- Designer & Developer Experience: 3 7 Yrs Location: Bangalore Job Description: Very Good in Dojo or any other Javascript libraries. Good in Ajax, Javascript, HTML concepts. Angular JS, JSON, Java script, Ajax, HTML CSS and any knowledge on python or Django sever would be added advantage. Jboss drools. Design Patterns. Good in oops and Data strcutures. XML parsers, Xpath, XSLT and JAXB. We are looking for someone who can join within 60 days . Please share your updated resume to priyan@scaleneworks.org . Salary: Not Disclosed by Recruiter Industry: Telecom/ISP Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills User Interface Designing Design dojo html css python nodejs node js angular js json ajax javascript ui developer ui development django mongo db gui development ui design Desired Candidate Profile  Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate Company Profile: Confidential Confidential Download PPT Photo 1  View Contact Details"
job description for the position of huge requirements for international voicecall archana,"Are you Looking out of job? Hurry Up!!Spot offer!!contact Are you looking out of job? Hurry up!! Contact Archana @7204053756 Company:-Accenture /Infosys /HGS /Firstsource /Mphasis /CONCENTRIX / /HCL,MINACS, etc Designation: - CSR/TSR (customer support, technical support) Process: - ""Networking"" ""telecom"" ""customer"" ""technical"" Location: - Bangalore Salary:-15k to 23k (depending on the quality Experience) Cab facility provided till door step Contact Person Miss. Archana A Contact number 7204053756 Interview time: 10.30 AM start Interview Venue details:- (IKYA group) Note: - Refer your friends and come along with your friends who are looking out for Job. Spot offer Letter. Regards, ARCHANA 7204053756 Recruitment Consultant. Salary:INR 2,00,000 - 4,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer support Senior Customer support Good communication skill Desired Candidate Profile Please refer to the Job description above Company Profile: Quess Corp Ltd. www.ikyaglobal.com Download PPT Photo 1  View Contact Details"
job description for the position of job opening for hcl technologies c developer bangalore ,"Experience: 3-5 Years _ C,L2/L3 Protocol Developer Mode: Permanent Work: Bangalore Interview: Bangalore (16-10-2016) Send CV:bullit11@bullitservices.com Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills c L2 protocol L3 Protocol C developer Desired Candidate Profile Please refer to the Job description above Company Profile: Bull IT Services HCL Technology Limited HCL Technologies is a leading global IT services company, working with clients in the areas that impact and redefine the core of their businesses Download PPT Photo 1  View Contact Details"
job description for the position of openings for position of test engineer manager for bangalore location,"Dear Candidates, We have an immediate job Openings for the position of TEST ENGINEER ( Manager Position ), interested candidates can take up the F2F interview Tomorrow (12.10.2016) to (14.10.2016) that has been scheduled and confirmed for the role of Test Engineer"" requirement with our client MNC. Interested Candidates can kindly drop me your resume to my mail id BY Today to confirm your schedule for F2F interview. Please find the details below. Current Location: KTPL,Bangalore Experience level: 6-10 yrs CTC: Open(Based on interview performance) Contract period: 1 year (NO BOND SIGNING) Detailed Job description: 1. Expertise in Manual/Automation testing 2. Expertise in writing test cases based on the Requirement documents, Functional Specifications and use cases. 3. Good exposure on all the phases of SDLC and STLC. 4. Good knowledge on the test management tools: HP ALM / QC 5. Good communication, inter personal skills and reasoning skills. 6. Experience in SAP based application testing desirable 7. Knowledge of supply chain domain desirable 8. Experience in effort estimation by analyzing project requirements 9. Expertise in developing test plan In this role, the candidate is expected to 1. Understand the testing effort by analyzing the requirements of project. 2. Estimate and obtain management support for the time, resources and budget required to perform the testing. 3. Organize the testing kick-off meeting 4. Define the Testing Strategy 5. Develop the test plan for the tasks, dependencies and participants required to mitigate the risks to system quality and obtain stakeholder support for this plan. 6. Ensure content and structure of all Testing documents / artifacts is documented and maintained. 7. Document, implement, monitor, and enforce all processes for testing as per standards defined by the organization. 8. Check / Review the Test Cases documents. 9. Keep track of the new requirements / change in requirements of the Project. 10. Escalate the issues about project requirements (Software, Hardware, Resources) to Project Manager 11. Organize the status meetings and send the Status Report (Daily, Weekly etc.) to the Client 12. Attend the regular client call and discuss the weekly status with the client. 13. Communication with the Client (If required). 14. Act as the single point of contact between Development and Testers. 15. Track and prepare the report of testing activities like test testing results, test case coverage, required resources, defects discovered and their status, performance baselines etc. 16. Ensure the timely delivery of different testing milestones. Regards Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - QA & Testing Role Category:Programming & Design Role:Testing Engineer Keyskills Test Engineering Testing Manager Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization Company Profile: ManpowerGroup Services India Private Limited MNC MNC Download PPT Photo 1  View Contact Details"
job description for the position of immediate openings for bpo non voice processcall kavya,"Walkin to our office and walk out with an offer letter for sure. we have an Excellent opening for you from top BPOS in bangalore. walk into Ikya Human Capital Solutions to avail these opportunities Are you a Fresher/ Experienced (6 months of call center experience) with good communication skills in English and looking out for an opportunity to join a call center/ BPO in a Day shift as well as Rotational shifts. Then heres a chance to all you guys. Available:- CUSTOMER SUPPORT, TECHNICAL SUPPORT, SALES REPRESENTATIVE Company:- Accenture,hgs, Infosys, Mphasis, First source, Concentrix, Scope, Aegis, Tesco, Cognizant, Hsbc, Swiggy, Ola, No broker, Quikr, Rentomojo, Sarvaloka ,Myntra, Flipkart, Freshmenu, 24/7...etc Interview rounds:- HR V&A OPERATIONS Note: all these rounds are held @ our office Salary:- starts with 2L to 4L Interview details:- Monday to Friday : 11 AM to 4PM Address: Ikya Human Capital Solutions For more details contact --KAVYA 7204053179 Mail me @ kavya.r@ikyaglobal.com \Mention KAVYA on your Resume. Salary:INR 1,50,000 - 4,00,000 P.A. Contact - Kavya@7204053179 Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Bpo Voice Call Center Customer Support Technical Support Calling Communication Skills csr cse tsr tse international voice process domestic voice process inbound calling outbound calling telecalling telesales Desired Candidate Profile Please refer to the Job description above Company Profile: Quess Corp Ltd. Immediate Openings for bpo Voice Process. CALL Kavya@7204053179 Immediate Openings for bpo Voice Process..CALL KAVYA@7204053179 Download PPT Photo 1  View Contact Details"
job description for the position of software engineer,"Hello,  Hope you are doing good.  Greetings!!! I do have an opportunity with well known MNC for the position of software Engineer and also Tech lead with the exposure in ASP.Net, C# and MVC. MVC must be in current project. MIN exp. in MVC should be 1 year. Exp. for software Engineer- 3 to 6 years and Lead role - 7 to 11 years Please find the detailed JD below. Experience working as part of teams following Agile Scrum methodology * Experience in developing web applications. If for ASP.NET position, ASP.NET MVC, RESTful, Web Services. If for PHP position, PHP experience with desire to work with .NET, Java and other platforms is ideal. * Experience with front-end technologies such as Javascript, HTML5, CSS, AngularJS, BackboneJS, EmberJS, KnockoutJS * Experience with database tools (PostgreSQL, Entity Framework, other ORMs such as LLBLGen Pro, NoSQL concepts) * Experience with rules engines (Camel, Drools, JRules) * Experience with software version management (SVN, Git or Mercurial) * Strong oral and written communication skills. If you are interested please share your updated resume on below mentioned email ID. Email ID - khushbooj@scaleneworks.org Regards, Khushboo Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills &quot ; Asp.net&quot ; &quot ; C#&quot ; &quot ; MVC"" Javascript HTML5 CSS AngularJS BackboneJS EmberJS KnockoutJS PostgreSQL Entity LLBLGen Pro NoSQL Desired Candidate Profile  Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Company Profile: Confidential Confidential Download PPT Photo 1  View Contact Details"
job description for the position of machine learning nlp expert candidates from premier institutes only,"Overview: As we continue to expand our artificial intelligence platform, Amelia, we are looking for NLP experts to join our development team. We need great scientists who also are great coders. Our scientists tackle the big challenges in deep language understanding and are passionate about writing sustainable code to implement advanced ideas. Whether from published research or their own approaches, our scientists identify and integrate the best science available all to create the best new NLP capability possible. We are looking for a hands-on scientist and developer ready to tackle the big challenges in deep language understanding. With an extensive existing customer base and a market-leading position in help desk automation, your work will go into production as soon as it shows measurable improvement over current methods. We think long term, while putting our research into practice on a rational schedule. Responsibilities: The ideal candidate will have both a research and development background. Having a history of peer-reviewed scientific publications in NLP is a plus. We have interest in candidates with a machine learning background and approach to NLP. We are also interested in candidates with a rule-based NLP background and knowledge of linguistic semantics. We have interest in candidates with experience in many portions of the NLP pipeline, including parsing, word sense disambiguation, knowledge extraction, question answering and language generation. Open source development experience is a plus. Ability to code in Java is required. You will lead an area of development of the pipeline, guiding and mentoring junior developers, working with the leads of the other areas of the pipeline and the lead scientist to create and deploy new capabilities in language understanding. You should be passionate about writing good and sustainable code to implement your advanced ideas. You will be expected to identify and integrate the best science available, whether from published research or your own approach. You will work with test and analysis engineers to prove your ideas against objective and measurable tests of capability. Each day you will be expected to move as needed between designing scientific approaches and architecture, writing or contributing to scientific publications, mentoring, and development in Java, all in the service of creating the best new NLP capability possible. Good scientists must also be good communicators, able to explain and justify complex ideas to junior developers and senior management, both verbally and in writing. You should be comfortable defining delivery schedules and metrics for performance assessment and meeting your targets. First and foremost we need great scientists who also are great coders. A mature coder should be able to learn a new framework quickly, so experience with each of the items below just helps us understand your implementation experience, but each is desirable. o -Development tools such as Maven, Jenkins, Ant, Eclipse o -Comfortable on Apple or Linux OSes o -Java Spring, Guava, JDBC, Tomcat, JUnit Qualifications: Bachelors degree in Computer Science from IIT/ IISc/ NITs/ Bits/ DCE/ ITBHU/ Guindy / Top US universities 1-3 Years Experience in Machine Learning and NLP Salary:INR 12,00,000 - 22,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Machine Learning nlp natural language processing Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers PG:Post Graduation Not Required, M.Tech - Computers Doctorate:Doctorate Not Required Company Profile: IPsoft Global Services Private Limited About Company ABOUT IPSOFT IPsoft is a global, industry-leading managed services company offering a complete solution to enterprise customers for outsourcing global IT operations. We offer a full range of managed services to our clients, from management at the individual component, device and network level to the analysis, design and management of complex business processes. IPsoft's unique (and proprietary) automation technology remediates more than half of the detected exceptions in our managed client environments. We manage our customers' systems through our worldwide Network Operations Centers located in New York City (HQ), London, Amsterdam and Bangalore. IPsoft has been solidly profitable since its inception as a company in 1998, and has roughly doubled its gross revenues for four straight years; we are on a trajectory to continue this rapid growth pace, meaning that you will have an opportunity to grow with the company. CULTURE IPsoft is committed to helping our employees develop their full potential in both business and technical spheres, and it is our policy to recognize excellent performance by promoting from within. IPsoft is a fast-paced, energetic and fun place to work. We're changing the way managed services are delivered to customers, and we're looking for people who want to make a difference. The best evidence that IPsoft is a good place to work? People come to work here and stay. If you come to work at IPsoft, you'll be working with cutting-edge technologies and the bright, driven people who develop them. Download PPT Photo 1  View Contact Details"
job description for the position of marketing executive chennai,"Excellent Opportunity for young marketing specialist to work for TOP Notch/ Fastest Growing Healthcare Organization. Company Name : Apollo Sugar Clinics Ltd Location : Chennai Role : Marketing Executive CTC ; Market Driven + Company Benefits Job Role: Doing Field Marketing Activities to increase the footfall at Clinical Units. Responsible to do tie-ups, Retails Marketing, Events, RWA Tie-up, and other activities to appeal Diabetes Patients to increase footfall at Clinical Units to increase the consultations. Doing Catchment area analysis, Market mapping, BTL / ATL activities Responsible to drive the diabetes detection drives by screening diabetes patients as per standard process Should be good in computers / Data management/ follow-up to provide services to patients/ customers Increase the brand visibility in 5-10 kms of vicinity of clinical units Recommended and promoting company packages and services for the revenue growth Salary:INR 2,00,000 - 3,00,000 P.A. Other Company Benefits Industry: Medical / Healthcare / Hospitals Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Advertising Role:Events/Promotion Executive Keyskills marketing footfall camps flyers BTL ATl event RWA jogger park social clubs Event Marketing branding promotion below the line above the line field marketing catchment area road shows Desired Candidate Profile Graduates / MBA (Sales & Marketing)Experience in Marketing (BTL Activities & Marketing Events)Preferred from Healthcare/ Retail/ Retail HealthcareMust have a BIKE & VALID Driving LicenseField Marketing experience should be of 2 YearsArea KnowledgePlease call me 8500082192 or 8125804444 Company Profile: Apollo Sugar Clinics Limited Make a Career. Join Apollo Sugar India! Apollo Sugar Clinics is an innovative, single specialty diabetes and endocrine healthcare service provider, formed as a collaboration between Apollo Hospitals Group and Sanofi (Global Pharma MNC). Apollo Sugar believes that human capital is the key to the success of our organization. We have built a culture of collaboration between teams that ensures growth of individuals and the organization. Our work environment drives innovation and passion towards patient service. We recruit & engage the best talent pool towards fulfillment of our core objectives - compassion and care of our patients. With the expertise and knowledge of our international partners, we bring global standards, in the field of single specialty clinics. Apollo Sugar is an equal opportunity employer and promotes diversity in our workforce. If you are compassionate with a flair for service excellence that you think can provide healing touch to improve the lives of people around you, Apollo Sugar is the place for you. Join our team to leverage career opportunities and achieve long term success. Our talent pool comprises of specialists in Medical Services, Marketing, Finance, HR, IT, Operations & Quality domain. In our clinics operation, we endeavor to impart quality experience to our multi-disciplinary care specialists comprising Endocrinologists, Diabetologists, Operations Incharges, Patient Care Facilitators, Diabetes Specialist Nurses, Dieticians, Diabetic Educators, and Sales & Marketing lead's with meaningful assignments to enhance their skills and expertise at par with global standards. To know more about your career options, connect with Apollo Sugar HR Partners and discover how successful you can be with us. More About Apollo Sugar (read more at www.apollosugar.com) India is home to over 65 million diabetics and more than 50 million pre-diabetics. More than 30 million Indians are unknown diabetics (not yet diagnosed but afflicted). The need of the hour is to address this endemic with a dedicated, comprehensive model of care - Apollo Sugar Clinics is the answer. Apollo Sugar (An Apollo Group Company) is an innovative care delivery business focused on providing assured care for Diabetics. With 30 years of the Apollo group's heritage and quality healthcare delivery behind it, Apollo Sugar was founded on the vision to make diabetes disease free. We are building the largest pan-India single specialty clinics model for Diabetes. Our vision is 'disease-free diabetes' and our mission is to provide proven and comprehensive care to the diabetic being cared for, and not just the disorder - to keep co-morbidities or related complications of the heart, kidneys, eyes, nerves, feet at bay. We successfully deliver robust patient outcomes by staffing each Sugar clinic with best in class multi-disciplinary care teams of doctors, dieticians, trained diabetes specific nurses and counselors, backed with proven treatment protocols and lifestyle management interventions to enable our customers to keep their Diabetes in good control and live a disease free lifestyle. We currently have 35+ Apollo Sugar clinics that are operational pan India across major cities, and are fast scaling up to our footprint to help provide proven, quality care for millions of more diabetic patients across India. Download PPT Photo 1  View Contact Details"
job description for the position of mega walk in drive tech m genesys pune bangalore oct ,"Job Title: Genesys Location: Pune & Bangalore Duration: Fulltime Permanent Interview Mode: Walk-In Client: Tech Mahindra Job Description: *Understanding about IPCC / IPCC Technologies. *Good Knowledge about Genesys Framework & Components. *Good understanding of *Component Integrations (in terms of connections etc) *Understanding of Genesys *Events-Request flows/Genesys Framework SDK (Good to Have) Basic Understanding of eServices, outbound, reporting solutions (at least one) Java / .NET (at least one) Education Required: BE BTECH, ME, MTECH, MCA. Interview Location & Timing Pune- 10:00 AM to 1:00 PM Bangalore 10:am to 1 PM Please include the below details: 1. Full Name : 2. Contact number: 3. Email Id: 4. Current Location: 5. Location Preference: 6. Notice Period(In Days): 7. Total Experience: 8. Relevant Experience: 9. Current Salary: 10. Expected Salary: 11. Current Company: 12. Education Details (Qualifications/ Year)): 13. Passport Details (*Mandatory): a) Full Name(As per Passport): b) DOB : c) Passport No: d) Passport Validity Date: 14. Availability for F2F Interview: 15. Confirming to represent ITBMS for this position(Yes / No): We will not be able to register your application we don't receive the above details while applying for this post. If you are interested, kindly fill the details and send it to neelaveni@itbmsglobal.com , priya@itbmsglobal.com, anna@itbmsglobal.com, raji@itbmsglobal.com along with your updated resume. Thanks, ITBMS 044-42066222 Salary: Not Disclosed by Recruiter Industry:IT-Software / Software Services Functional Area:IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Salary:INR 5,00,000 - 12,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C Interviewing Java Salary .Net SDK Software Development Application Programming Software Services Genesys Framework IPCC IPCC Technologies Genesys components Component Integrations eServices Desired Candidate Profile Please refer to the Job description above Company Profile: ITBMS Inc ITBMS is a global IT services company, offering a wide array of solutions customized for a range of key verticals and horizontals. Our unique approach includes implementing solutions to integrate your processes, as well as deploying the best business practices needed to harness the power of information systems more effectively in a global organization Download PPT Photo 1  View Contact Details"
job description for the position of data entry typing work,"This work is called E-book Project. This work will be available for those who have Computer. It is very easy work you can do this work anywhere anytime. You can do this work as part time job or full time job. Procedure of Work:- Just see and type pages from images. No need to give trouble to our BRAIN!!! Payment details:- You will get Rs.10000/- to Rs. 60000/- per month. For more information, visit website of Mahi Foundation. After completing the total work, your payment will be done through cheque or through NEFT to your Bank account. About the Company: The Mahi Foundation is a charitable trust fund that was created to provide a source of donation for not-for-profit organizations in India. Mahi Foundation acts as a ""link"" between two groups: a) Development organization and individuals working at grassroots level with underprivileged children and communities And b) People like you who wish to help but don't know how. You just have to use our services and our profit form it will convert into Donation. Salary:INR 1,50,000 - 5,00,000 P.A Industry: NGO / Social Services / Regulators / Industry Associations Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Online Banking Part Time Data Entry Desired Candidate Profile Please refer to the Job description above Company Profile: TalentPegs The Mahi Foundation is a charitable trust fund that was created to provide a source of donation for not-for-profit organizations in India. Mahi Foundation acts as a ""link"" between two groups: a) Development organization and individuals working at grassroots level with underprivileged children and communities And b) People like you who wish to help but don't know how. You just have to use our services and our profit form it will convert into Donation. Download PPT Photo 1  View Contact Details"
job description for the position of priorty banking banking wealth,"1)Develops new and expands existing High Net worth Customer relationships for lia 2)Ensures high levels of customer service orientation and application of bank policy. 3)Cross sells existing bank products to customers. Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: Financial Services , Banking , Investments , Insurance Role Category:Retail/Personal Banking Role:Domestic Private Banking-Executive/Manager Keyskills wealth private banking investment Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: Manzil Placement A Leading Bank Download PPT Photo 1  View Contact Details"
job description for the position of associate software engineer and testing jobs in bangalore,"Good understanding of different layers of protocols, networking. Good understanding and knowledge of programming skills like C/C++/ Java. Good understanding of Operating Systems (OS), computer fundamentals, Virtualisation. Salary:INR 3,00,000 - 6,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Keyskills C C++ Java Software Engineering Operating Systems OS Programming Networking Fundamentals Bangalore bengaluru karnataka Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication, Instrumentation PG:MS/M.Sc(Science) - Computers, MCA - Computers Doctorate:Doctorate Not Required Company Profile: Local Job Search http://www.fresherstime.com Download PPT Photo 1  View Contact Details"
job description for the position of showroom executives,"Freshers are also welcome Work Location : Across Bangalore Good communication skills. Any graduate/Under graduate can apply. Immediate joiners are preferred. Salary: Not Disclosed by Recruiter Industry: Retail / Wholesale Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Showroom Sales Showroom Executive counter sales Customer Retention Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization Company Profile: Confidential Confidential Download PPT Photo 1  View Contact Details"
job description for the position of android developer,"We build apps used by millions of people, and we take great pride in our work. This means excellent development practices, careful code architecture, and an organization built around rapid releases. Salary:INR 6,00,000 - 12,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:IT/Technical Content Developer Keyskills android creative apps symbian producer apps creative applications Desired Candidate Profile Please refer to the Job description above Company Profile: InstaCar Technologies Pvt. Ltd. We are a fast-growing taxi rental marketplace with one dream: making each road trip happy. Attempting to fill the gap of getting outstation taxis across India. Download PPT Photo 1  View Contact Details"
job description for the position of spa manager for a leading spa salon,"Responsibilities:- * Welcoming the clients & Make Them Comfortable * Explaining New Offers & Packages & Suggesting According to Their Suitability * Ensuring All The Equipments are in Working Condition * Conducting Regular Meetings With Staff & Updating Sales & Operational Aspects * Stock Maintaining & Requirements & Safe Cash Managing * Daily Cash Deposits to Bank & Maintaining In system * Handling Reception Area In Good Manner Sales: + Consistently achieves salon sales goals on daily, weekly, monthly basis. + Responsible for Target analysis, strategies to achieve target and monthly target reviews with the team. + Budget and inventory Management. + Ensuring profitability of the Salon. Team Management + Supervises staff, sets sales goals. + Ensure appropriate number of staff is available on the floor as per business requirement. + Regular execution and monitoring of Salon Business Manager & salon employees performance evaluations and improvement plans. + To encourage and motivate all staff to maximum potential, both technically and professionally for their individual benefit and future growth of the company. + Effectively manage employee turnover. + To ensure a motivated workforce and best performance. Operations + To ensure smooth operations of Salons. + To ensure implementation of all standard SOPs. + To offer and maintain outstanding standards of Customer Services at the Salons. * Client Relationship Management: < Interacting with customers on shop floor for effective resolution of customer grievances and obtaining the feedback. < Maximising customer satisfaction matrices by providing pre & post sale assistance and achieving delivery and quality norms. Salary:INR 2,50,000 - 3,50,000 P.A Industry: Other Functional Area: Other Role:Other Keyskills Salon SPA Spa Manager Outlet Manager beauty Operations Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Company Profile: Delight HR Services Pvt Ltd. Delight HR is leading recruitment process outsourcing and consulting organization. sourcing and consulting organization. Download PPT Photo 1  View Contact Details"
job description for the position of recruitment coordinator bangalore,"Job Description Heres what you will do as part of the recruitment team: As a recruitment coordinator you will work closely with candidates, recruiters and stakeholders to support recruitment needs. You will: Manage the flow of candidates thorough the recruitment process, from scheduling interviews to bringing new employees on board. Manage onsite logistics during interviews, and ensuring a seamless overall experience for both the candidate and the internal employees. May be required to conduct tests, screening and preliminary interviewing of potential employees. Help in arranging travel for job candidates and act as a liaison between the foundation and the candidate. Respond quickly and effectively to urgent tasks, which you'll constantly need to prioritize. Represent the foundation at recruiting events Maintain database and gather qualified job seekers contact information. Salary: Not Disclosed by Recruiter Industry: NGO / Social Services / Regulators / Industry Associations Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Screening Interviewing Database Maintenance Travel Arrangements HR and Recruitment Human Resource Recruiter NGO Bangalore karnataka bengaluru HR MBA Recruitment Recruitment coordinator Talent Acquisition human resource coordinator Desired Candidate Profile Skills and experience:A team player; adept at working with multiple people at any given time.Incredibly organized, with strong attention to detail.Able to connect and interact with different types of people, of varying degrees of seniority.An excellent communicator and is able to speak clearly and positively on the phone, over email, and in person.Desired experience: 1-3 years of work experience as recruitment coordinator.Should have be familiar with Microsoft Office.Any prior experience with PeopleSoft ERP will be an advantage.Proficiency in English and any other languages like Hindi/Tamil/Telegu/Kannada.Candidate should be open to travel & working on third party rolls. Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - HR/Industrial Relations Company Profile: Azim Premji Foundation Azim Premji Foundation is a not-for profit organization that has been working for more than a decade now towards making deep, large scale and institutionalized impact on the quality and equity of education in India, along with related development areas. Any large scale educational change requires significant and sustained effort over many decades and can only be achieved through working at multiple levels as well as on several areas simultaneously. The Foundation today works in 8 states and has institutes that are located at Karnataka (Bangalore, Yadgir, Mandya and Gulbarga), Rajasthan (Jaipur, Sirohi, Tonk, Barmer and Rajsamand), Uttarakhand (Dehradun, Uttarkashi, Udham Singh Nagar and Almora), Bihar (Patna), Chhattisgarh (Raipur and Dhamtari), Madhya Pradesh (Bhopal) and Puducherry. At many of the District Institutes, schools have been established for the specific purpose of demonstration. These schools provide quality free education to the local community, at costs and constraints similar to that of rural government schools. Over the next few years, the Foundation plans to have about 50 District Institutes, 30 schools and over 4000 employees. Download PPT Photo 1  View Contact Details"
job description for the position of bdm from furniture interior desig call hyderabad ,"We have the following requirement at hyderabad Business Development for furniture industry ( Pay scale Rs 70,000 above. Salary would not be a limiting factor for the right candidate ) Post graduate with consistent academica interior design, furn Salary:INR 4,25,000 - 9,00,000 P.A Industry: Architecture / Interior Design Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills .BD BDM business development manager business development key account manager Desired Candidate Profile Please refer to the Job description above Company Profile: Step Ahead We are hrd consultants for bangalore from past 9 years in the market and exposure in various domains and sectors and placement for all the top mid level management Download PPT Photo 1  View Contact Details"
job description for the position of lead engineer java with years experience required at bangalore,"Need BE/B.Tech candidates with 6+ years of experience & 1 year experience in leading technical teams,designing and working with n-tier architectures with knowledge of Java EE, Mysql, Struts2, Spring,Hibernate,Rest, SOAP, HTML, Javascript, CSS, SCRUM Salary: + other benefits as may be applicable Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Java EE Hibernate Spring Struts HTML Javascript Rest SOAP MySQL CSS SCRUM Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Computers Company Profile: Human Capital and Tech Solutions HCTS is a leading HR Consultancy catering to the HR requirements of its Clients. Download PPT Photo 1  View Contact Details"
job description for the position of immediate opening for freshers btech it recruiter,"Job Description: Source, Screen,Schedule Candidates for Internal requirement Handle End-To-End Recruitment cycle Maintain Database Handle of role of IT recruiter Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills IT Recruitment Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization Company Profile: Confidential Confidential Download PPT Photo 1  View Contact Details"
job description for the position of executive crm,"Should have good communication skill. Maintain all the queries regarding booking and sales updates in MIS. Follow up calls. Educating customer about project details, keeping data base and information of individual customer. Entertaining any enquiry that rises in pretext to details of payment or any other commercial. Keeping track of collections. Preparing MIS, weekly reports. Candidate should have handled client relation in advance. Should have knowledge of excel, MS office, etc. Salary: Not Disclosed by Recruiter Industry: Real Estate / Property Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Outside Consultant Keyskills Sales Collections MS Office CRM MIS Preparation Desired Candidate Profile  Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: Puravankara Projects Limited What started as a dream of our founder Chairman, 37 years ago, has today metamorphosed into a gratifying reality. A reality that bears testimony to the passion of Puravankara in delivering homes and commercial spaces which inspire innovation and at the same time present its occupants with a reason to celebrate the joy of living. Started in Mumbai in 1975, the Puravankara legacy today epitomizes commitment, professionalism, transparency and growth; qualities very few in the real estate sector can aver. We blend the best of our local expertise with those of our partners and international consultants of global repute to provide a wide range of options to our customers Download PPT Photo 1  View Contact Details"
job description for the position of web developer designer,"Ability to develop website and host Need to work on PHP program for ecommerce, and other portals Need to maintain and host several websites for customers Should be able to design pages with responsiveness Mobile app development knowledge is an Salary: Based on experience and skill set Industry: IT-Software / Software Services Functional Area: Design , Creative , User Experience Role Category:Creative Role:Web Designer Keyskills Web Development PHP Web Technologies online technologies website technologies e commerce technologies web designing graphic designing website designing webdesigner Desired Candidate Profile Good in writing programs in php, MySQL and codeignitor frame work. Should be good in design and develop user interface pages Proactive and good in providing solution to customers Education- UG: B.Sc - Computers, B.Tech/B.E. - Any Specialization, Computers, BCA - Computers PG:MCA - Computers Company Profile: Viaweb Technologies Solutions LLP Viaweb Technology Solutions, is an IT services and digital marketing company who is an expertise in the field of Web, Databases, Digital Marketing & Optimization (SEO). We are a start-up in bangalore currently with a sales office in Ottawa, Canada Download PPT Photo 1  View Contact Details"
